Package,Priority,Score,SourceFiles,LOC,Dependencies,Coverage,Risks
"@intelliflow/api","CRITICAL",65,138,55672,19,"N/A","Large package (>50 files); High LOC (>5000 lines); No coverage data; Critical business logic"
"@intelliflow/application","CRITICAL",65,64,18087,2,"N/A","Large package (>50 files); High LOC (>5000 lines); No coverage data; Critical business logic"
"@intelliflow/domain","CRITICAL",65,113,29854,2,"N/A","Large package (>50 files); High LOC (>5000 lines); No coverage data; Critical business logic"
"@intelliflow/web","HIGH",55,329,82045,25,"N/A","High dependency count; Large package (>50 files); High LOC (>5000 lines); No coverage data"
"@intelliflow/ui","HIGH",55,93,12083,25,"N/A","High dependency count; Large package (>50 files); High LOC (>5000 lines); No coverage data"
"@intelliflow/validators","HIGH",50,23,5192,2,"N/A","High LOC (>5000 lines); No coverage data; Critical business logic"
"@intelliflow/adapters","HIGH",45,67,26419,8,"N/A","Large package (>50 files); High LOC (>5000 lines); No coverage data"
"@intelliflow/api-client","MEDIUM",35,3,347,6,"N/A","No coverage data; Critical business logic"
"@intelliflow/db","MEDIUM",35,5,1270,1,"N/A","No coverage data; Critical business logic"
"@intelliflow/platform","MEDIUM",35,18,4504,4,"N/A","No coverage data; Critical business logic"
"@intelliflow/ai-worker","MEDIUM",30,47,17869,14,"N/A","High LOC (>5000 lines); No coverage data"
"@intelliflow/typescript-config","MEDIUM",25,0,0,0,"N/A","No typecheck script; No coverage data"
"@intelliflow/architecture-tests","MEDIUM",25,0,0,3,"N/A","No typecheck script; No coverage data"
"@intelliflow/plan-linter","MEDIUM",25,0,0,1,"N/A","No typecheck script; No coverage data"
"intelliflow-crm","LOW",15,0,0,0,"N/A","No coverage data"
"@intelliflow/workers","LOW",15,0,0,0,"N/A","No coverage data"
"@intelliflow/events-worker","LOW",15,6,1807,7,"N/A","No coverage data"
"@intelliflow/ingestion-worker","LOW",15,3,893,7,"N/A","No coverage data"
"@intelliflow/notifications-worker","LOW",15,6,2618,8,"N/A","No coverage data"
"@intelliflow/worker-shared","LOW",15,10,2633,4,"N/A","No coverage data"
"@intelliflow/ai","LOW",15,1,28,3,"N/A","No coverage data"
"@intelliflow/observability","LOW",15,5,1658,13,"N/A","No coverage data"
"@intelliflow/sdk","LOW",15,2,239,2,"N/A","No coverage data"
"@intelliflow/search","LOW",15,4,513,3,"N/A","No coverage data"
"@intelliflow/webhooks","LOW",15,2,893,0,"N/A","No coverage data"
